"j.archive.id","left","center","right","left.rank","center.rank","right.rank"
173,8400,7500,5000,1,2,3
174,0,0,0,1,1,1
177,2500,8390,-1300,2,1,3
179,100,3000,200,3,1,2
180,9000,13400,200,2,1,3
338,50,900,100,3,1,2
339,1700,11300,550,2,1,3
340,10600,11000,9750,2,1,3
341,11200,600,19000,2,3,1
344,17800,2480,3000,1,3,2
345,5,5,3700,2,2,1
347,4000,3995,2600,1,2,3
348,7200,0,7599,2,3,1
352,13050,100,0,1,2,3
353,9000,2800,7000,1,3,2
354,8600,10100,-1000,2,1,3
355,1000,0,0,1,2,2
356,500,-500,5650,2,3,1
359,1400,3200,5400,3,2,1
360,1000,100,2000,2,3,1
361,11000,0,100,1,3,2
362,12399,-300,200,1,3,2
363,4601,-1000,0,1,3,2
4249,4600,5,-1600,1,2,3
368,3,6500,801,3,1,2
4592,16300,25,0,1,2,3
4529,4900,2399,100,1,2,3
4233,900,18000,1,2,1,3
246,0,18000,0,2,1,2
295,12500,6700,7100,1,3,2
251,14500,3000,-600,1,2,3
294,15000,6100,2800,1,2,3
297,12800,1,400,1,3,2
4251,12000,2599,-800,1,2,3
3051,0,0,3599,2,2,1
3053,4100,3300,8600,2,3,1
3060,-800,7601,4800,3,1,2
3061,10100,2100,7000,1,3,2
3062,0,3,12000,3,2,1
3065,0,7600,0,2,1,2
3067,6000,2100,3800,1,3,2
3069,1772,0,9000,2,3,1
900,4500,4300,6100,2,3,1
902,600,5099,12401,3,2,1
4261,6600,9300,200,2,1,3
4267,9300,1500,1300,1,2,3
3952,599,3700,3395,3,1,2
4254,550,10001,3900,3,1,2
4258,4800,-1000,5000,2,3,1
4260,5,1,7600,2,3,1
116,11500,12600,12600,3,1,1
4269,0,0,8300,2,2,1
2205,3800,10000,1,2,1,3
2262,6601,2,0,1,2,3
2263,8199,3000,1501,1,2,3
2264,8400,5799,100,1,2,3
2265,12900,8200,300,1,2,3
4279,800,9999,99,2,1,3
4281,5000,-400,-2500,1,2,3
4230,4000,4000,0,1,1,3
1991,3300,6900,5100,3,1,2
1992,100,599,0,2,1,3
